file_path,purpose,imports_internal_modules,writes_outputs,reads_inputs,active_in_pipeline,called_by_readme,called_by_run_pipeline,related_phase,safe_to_archive_later,notes
src/calibration.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/config.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/data_loading.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
src/ensembling.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/error_analysis.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/evaluation.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/explainability.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/features.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/feature_stability_selection.py,Prefer lower missingness and non-target-encoded representatives.,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
src/final_calibration.py,module,no,yes,no,unknown,unknown,unknown,final,maybe,static audit
src/final_competition_pipeline.py,module,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_ensembling.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_error_analysis.py,module,no,yes,no,unknown,unknown,unknown,final,maybe,static audit
src/final_inference.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_model_zoo.py,module,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_report_assets.py,module,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_selection_board.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_test_evaluation.py,module,no,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/final_thresholding.py,module,no,yes,no,unknown,unknown,unknown,final,maybe,static audit
src/final_validation.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
src/medical_metrics.py,0.25 is the Brier loss of an uninformative balanced binary predictor.,no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/metrics.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/models.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/model_selection.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/optimization.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/phase10_improvements.py,Interpretation,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/phase9_outputs.py,module,yes,yes,yes,unknown,unknown,unknown,final,maybe,static audit
src/smoke_test.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/thresholding.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/train_improved.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/utils.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
src/validation.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/__init__.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/conftest.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_advanced_bio_features.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_data_loading.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_ensembling.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_evaluation.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_features.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_final_inference_schema.py,module,yes,yes,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_final_model_zoo.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_final_selection_board.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_fold_safe_target_encoding.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_medical_metrics.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_medical_optuna.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_no_variant_id_leakage.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_thresholding.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
tests/test_validation.py,module,yes,no,no,unknown,unknown,unknown,final,maybe,static audit
src/teknofest/data_prep.py,module,no,no,yes,yes,unknown,unknown,final,no,static audit
src/teknofest/eda.py,Executive Summary,yes,yes,no,yes,unknown,unknown,final,no,static audit
src/teknofest/experiments.py,Critical Checklist,yes,yes,no,yes,unknown,unknown,final,no,static audit
src/teknofest/explainability.py,module,yes,yes,yes,yes,unknown,unknown,final,no,static audit
src/teknofest/features.py,module,no,no,no,yes,unknown,unknown,final,no,static audit
src/teknofest/training.py,Reusing fold-engineered matrices keeps the Optuna loop honest and much faster.,yes,yes,no,yes,unknown,unknown,final,no,static audit
src/teknofest/validation.py,module,no,no,no,yes,unknown,unknown,final,no,static audit
src/teknofest/__init__.py,module,no,no,no,yes,unknown,unknown,final,no,static audit
teknofest2026_artificialintelligenceinhealtcare-main/src/config.py,Columns that behave like identifiers or show near-perfect target purity.,no,no,no,unknown,unknown,unknown,final,maybe,static audit
teknofest2026_artificialintelligenceinhealtcare-main/src/feature_engineering.py,Global missing count,no,no,no,unknown,unknown,unknown,final,maybe,static audit
teknofest2026_artificialintelligenceinhealtcare-main/src/preprocessing.py,Compatibility with older sklearn,no,no,no,unknown,unknown,unknown,final,maybe,static audit
teknofest2026_artificialintelligenceinhealtcare-main/src/utils/config.py,module,no,no,no,unknown,unknown,unknown,final,maybe,static audit
