feature,feature_group,source
AL_224,AL_frequency,sample_real_data
AL_225,AL_frequency,sample_real_data
AL_226,AL_frequency,sample_real_data
AL_227,AL_frequency,sample_real_data
AL_228,AL_frequency,sample_real_data
AL_229,AL_frequency,sample_real_data
AL_230,AL_frequency,sample_real_data
AL_231,AL_frequency,sample_real_data
AL_232,AL_frequency,sample_real_data
AL_233,AL_frequency,sample_real_data
AL_234,AL_frequency,sample_real_data
AL_235,AL_frequency,sample_real_data
AL_236,AL_frequency,sample_real_data
AL_237,AL_frequency,sample_real_data
AL_238,AL_frequency,sample_real_data
AL_239,AL_frequency,sample_real_data
AL_240,AL_frequency,sample_real_data
AL_241,AL_frequency,sample_real_data
AL_242,AL_frequency,sample_real_data
AL_243,AL_frequency,sample_real_data
AL_244,AL_frequency,sample_real_data
AL_245,AL_frequency,sample_real_data
AL_246,AL_frequency,sample_real_data
AL_247,AL_frequency,sample_real_data
AL_248,AL_frequency,sample_real_data
AL_249,AL_frequency,sample_real_data
AL_250,AL_frequency,sample_real_data
AL_251,AL_frequency,sample_real_data
AL_252,AL_frequency,sample_real_data
AL_253,AL_frequency,sample_real_data
AL_254,AL_frequency,sample_real_data
AL_255,AL_frequency,sample_real_data
AL_256,AL_frequency,sample_real_data
AL_257,AL_frequency,sample_real_data
AL_258,AL_frequency,sample_real_data
AL_259,AL_frequency,sample_real_data
AL_260,AL_frequency,sample_real_data
AL_261,AL_frequency,sample_real_data
AL_262,AL_frequency,sample_real_data
AL_263,AL_frequency,sample_real_data
AL_264,AL_frequency,sample_real_data
AL_265,AL_frequency,sample_real_data
AL_266,AL_frequency,sample_real_data
AL_267,AL_frequency,sample_real_data
AL_268,AL_frequency,sample_real_data
AL_269,AL_frequency,sample_real_data
AL_270,AL_frequency,sample_real_data
AL_271,AL_frequency,sample_real_data
AL_272,AL_frequency,sample_real_data
AL_273,AL_frequency,sample_real_data
AL_274,AL_frequency,sample_real_data
AL_275,AL_frequency,sample_real_data
AL_276,AL_frequency,sample_real_data
AL_277,AL_frequency,sample_real_data
AL_278,AL_frequency,sample_real_data
AL_279,AL_frequency,sample_real_data
AL_280,AL_frequency,sample_real_data
AL_281,AL_frequency,sample_real_data
AL_282,AL_frequency,sample_real_data
AL_283,AL_frequency,sample_real_data
AL_284,AL_frequency,sample_real_data
AL_285,AL_frequency,sample_real_data
AL_286,AL_frequency,sample_real_data
AL_287,AL_frequency,sample_real_data
AL_288,AL_frequency,sample_real_data
AL_289,AL_frequency,sample_real_data
AL_290,AL_frequency,sample_real_data
AL_291,AL_frequency,sample_real_data
AL_292,AL_frequency,sample_real_data
AL_293,AL_frequency,sample_real_data
AL_294,AL_frequency,sample_real_data
AL_295,AL_frequency,sample_real_data
AL_296,AL_frequency,sample_real_data
AL_297,AL_frequency,sample_real_data
AL_298,AL_frequency,sample_real_data
AL_299,AL_frequency,sample_real_data
AL_300,AL_frequency,sample_real_data
AL_301,AL_frequency,sample_real_data
AL_302,AL_frequency,sample_real_data
AL_303,AL_frequency,sample_real_data
AL_304,AL_frequency,sample_real_data
AL_305,AL_frequency,sample_real_data
AL_306,AL_frequency,sample_real_data
AL_307,AL_frequency,sample_real_data
AL_308,AL_frequency,sample_real_data
AL_309,AL_frequency,sample_real_data
AL_310,AL_frequency,sample_real_data
AL_311,AL_frequency,sample_real_data
AL_312,AL_frequency,sample_real_data
AL_313,AL_frequency,sample_real_data
AL_314,AL_frequency,sample_real_data
AL_315,AL_frequency,sample_real_data
AL_316,AL_frequency,sample_real_data
AL_317,AL_frequency,sample_real_data
AL_318,AL_frequency,sample_real_data
AL_319,AL_frequency,sample_real_data
AL_320,AL_frequency,sample_real_data
AL_321,AL_frequency,sample_real_data
AL_322,AL_frequency,sample_real_data
AL_323,AL_frequency,sample_real_data
AL_324,AL_frequency,sample_real_data
AL_325,AL_frequency,sample_real_data
AL_326,AL_frequency,sample_real_data
AL_327,AL_frequency,sample_real_data
AL_328,AL_frequency,sample_real_data
AL_329,AL_frequency,sample_real_data
AL_330,AL_frequency,sample_real_data
AL_331,AL_frequency,sample_real_data
AL_332,AL_frequency,sample_real_data
AL_333,AL_frequency,sample_real_data
AL_334,AL_frequency,sample_real_data
EK_4,EK_conservation,sample_real_data
EK_5,EK_conservation,sample_real_data
EK_6,EK_conservation,sample_real_data
EK_7,EK_conservation,sample_real_data
EK_8,EK_conservation,sample_real_data
EK_9,EK_conservation,sample_real_data
al_missing_count,AL_frequency,sample_real_data
al_mean,AL_frequency,sample_real_data
al_max,AL_frequency,sample_real_data
al_min,AL_frequency,sample_real_data
al_std,AL_frequency,sample_real_data
ek_missing_count,EK_conservation,sample_real_data
ek_mean,EK_conservation,sample_real_data
ek_max,EK_conservation,sample_real_data
ek_min,EK_conservation,sample_real_data
ek_std,EK_conservation,sample_real_data
row_missing_count,missingness,sample_real_data
row_missing_rate,missingness,sample_real_data
aa_parse_success,AA_substitution,sample_real_data
aa_unknown_ref,AA_substitution,sample_real_data
aa_unknown_alt,AA_substitution,sample_real_data
molecular_weight_delta,baseline_raw,sample_real_data
hydrophobicity_delta,baseline_raw,sample_real_data
charge_change,baseline_raw,sample_real_data
proline_involved,baseline_raw,sample_real_data
glycine_involved,baseline_raw,sample_real_data
cysteine_involved,baseline_raw,sample_real_data
amino_acid_property_distance,baseline_raw,sample_real_data
